Pathway	RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	42.317	8.88637	17.6838	27.2217	14.235	23.9788	48.1142	60.1396	58.3858	69.6793	79.4216	19.1017	27.3658	25.7821	29.9488	54.5452	51.7487	108.359	269.615	97.7285	122.643	6.53318	82.5256	59.9509	34.4567	31.0253	47.0306	45.5739	20.9948	119.275	66.7559	56.6768	298.247	188.75	56.9318	72.8383	344.823	74.201	180.249
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20328	0	0	12.9936	0	8.3643
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0	0	0	0	0	0	0	13.2873	0	0	0	0	1.54307	0	0	19.351	10.091	1.51745	25.4475	0	18.2553	0	0	11.3296	0	0	10.0004	17.5584	21.7601	11.9453	0	61.9175	11.1459	10.7663	56.8203	65.9511	115.488
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	20.6201	253.049	9.77608	49.0804	161.68	37.4254	59.5676	26.3613	295.728	154.014	155.376	324.375	29.8557	107.038	50.9027	72.6453	123.783	92.2457	291.282	731.681	135.365	134.287	65.1144	204.048	171.778	44.5006	80.4359	123.985	146.061	50.4627	434.467	259.417	188.953	472.501	310.784	137.046	188.029	146.271	102.781	299.787
CALVIN-PWY: Calvin-Benson-Bassham cycle	17.6458	329.649	43.447	94.9283	340.186	113.497	118.687	131.976	339.584	201.154	241.851	561.234	84.661	106.393	89.3743	127.481	153.525	292.371	482.546	847.744	273.216	396.434	104.303	462.819	269.356	88.3805	180.808	235.102	232.225	95.725	586.737	461.385	269.967	957.837	309.337	253.589	341.273	622.056	193.867	325.894
CARNMET-PWY: L-carnitine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28137
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29739
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	0	0	0	0	0	0	21.9829	8.91895	4.77271	26.8818	5.71713	0	0	0	0	0	11.2166	33.9189	0	48.0602	0	14.9161	10.8222	0	7.17909	7.92662	3.66194	0	17.7046	18.1424	11.4448	33.5773	26.5147	12.3511	12.5712	3.80591	7.96341	27.4965
CITRULBIO-PWY: L-citrulline biosynthesis	0	21.7297	0	20.9979	27.0251	11.9401	11.855	41.6779	13.4139	54.3556	101.673	12.9145	7.47667	26.685	42.3989	28.8465	38.4709	24.4112	108.504	112.739	80.181	107.139	4.31424	48.7359	65.2679	42.2968	30.6658	42.9483	34.9353	27.6233	21.7076	66.5165	86.6727	32.2659	196.387	24.1364	21.1889	141.912	81.4073	204.253
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0	75.7822	0	27.2853	59.9682	9.4336	26.2166	12.5547	124.278	72.5727	124.678	74.4987	19.8853	10.7938	19.769	39.8546	45.9322	26.8747	146.868	301.62	61.3093	105.786	48.7205	101.488	131.349	14.5945	53.8669	54.7624	110.305	33.8875	172.422	124.603	141.732	363.984	329.925	61.3404	117.496	77.7833	87.1587	333.71
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0	86.245	6.86225	28.6688	65.3798	9.86423	27.2696	16.8244	126.527	79.7492	137.572	153.903	20.3816	34.8997	27.445	41.1044	42.2053	38.2691	166.996	406.848	98.1065	132.823	47.9143	122.51	130.187	16.4928	60.4163	64.457	113.504	33.8067	193.596	139.098	141.772	466.461	329.699	70.2134	120.199	74.7395	102.227	319.67
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	3.23264	9.33696	0	0	7.03442	0	0	6.30954	18.0617	3.03593	12.2399	19.2815	3.43306	3.34071	20.8287	10.646	5.54625	0	55.086	71.6047	4.62914	29.1785	10.9797	30.4958	96.4377	0	18.0654	11.2767	56.5858	8.9725	22.2357	17.2149	89.1913	60.6443	151.004	19.047	33.4091	54.7439	35.541	132.858
COLANSYN-PWY: colanic acid building blocks biosynthesis	6.21614	69.3712	0	6.29846	41.9474	0	21.9717	20.9865	44.0442	78.2615	54.7894	33.9324	13.836	35.0159	15.3208	16.42	27.0375	20.2148	179.918	128.819	44.1037	149.439	24.8801	88.3493	66.7807	31.0515	29.3668	61.3545	51.6946	35.9819	124.79	77.8	78.5981	208.976	115.646	54.638	57.7213	96.2728	75.3126	88.1326
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0	58.5488	0	24.0231	31.4185	6.72253	23.8628	32.4404	74.3072	53.3288	53.0209	77.0893	0	18.8511	19.4319	31.4289	30.7552	12.0449	128.038	208.75	42.8065	62.6719	49.3275	86.2034	115.489	11.1057	38.0977	23.5442	93.3599	23.4412	151.473	70.8586	142.983	158.582	273.549	45.4864	111.448	143.536	70.545	324.359
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	0	16.5312	8.6785	0	14.6599	26.3017	4.89516	0	21.5438	0	0	0	19.9606	0	15.8599	0	24.9752	89.2373	0	69.2704	0	0	11.9622	0	19.573	24.1472	0	0	0	0	11.6737	20.3338	29.394	5.74623	29.2914	97.0354	18.6945	57.501
DARABCATK12-PWY: D-arabinose degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.674243	0	0	0	0	0	0	0	0	0	0	0	0	12.2407	0	0	16.4681	0.275595	6.93168
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.3656	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	13.051	161.519	32.5126	45.8976	140.551	26.1598	83.2961	77.105	214.871	196.764	260.534	352.747	51.8916	99.8174	53.294	95.8846	138.583	191.179	390.845	581.866	223.794	210.831	70.4192	381.561	220.077	72.178	103.322	129.703	194.448	65.1501	362.32	314.189	226.72	803.169	638.389	155.559	230.775	152.658	150.872	446.917
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00183	0	0	0	0	0	0	0	0	0	0	0	0	0.587356	0	0	5.08135	0	7.11513
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0	0	0	0	0	0	11.4757	0	0	0	0	0	0	0	0	0	0	0	0	0	6.97756	0	0	0	0	0	0	0	0	0	0	0	0	3.16205	0	7.08323	133.066	11.0693	18.3749
FASYN-ELONG-PWY: fatty acid elongation -- saturated	10.9772	0	0	21.5519	23.6812	0	9.88258	116.3	0	0	59.7298	0	0	0	9.0432	1.51817	15.0764	0	50.0424	9.7604	1.42674	129.19	0	23.6995	0	0	26.6661	4.60064	0	14.8545	21.6062	28.7899	12.1161	0	60.8678	17.1634	44.1507	376.722	83.449	124.564
FERMENTATION-PWY: mixed acid fermentation	14.5083	16.057	0	46.962	61.6896	16.054	5.12744	95.4754	13.4164	16.1144	71.1657	128.906	0	10.3956	0	37.17	10.7112	22.7704	58.0928	133.644	7.54978	126.725	12.9767	53.941	30.2516	62.9272	33.8678	29.1154	12.501	23.9225	66.4529	53.687	25.3997	26.1155	45.6919	28.7153	49.8245	589.115	85.4637	69.6778
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	0	0	0	0	0	14.2985	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4736	0	15.2467	8.76735	0	0	0	0	0	22.1086	0	0	0	36.3085	6.57428	4.279	48.0523	11.9415	46.7445
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0	20.0881	0	0	12.0744	0	5.38479	0	0	31.8915	6.70866	9.72994	0	8.84319	0	8.49139	0	0	8.42667	9.57704	0	64.8122	7.61929	29.3026	14.6657	0	10.6446	10.0152	15.2169	11.7204	25.3782	28.4154	21.4498	6.17996	52.0457	23.1012	7.44744	16.1061	42.7296	55.5588
FUCCAT-PWY: fucose degradation	0	24.9708	0	4.34287	18.742	0	4.31048	0	21.3789	19.5107	3.51058	19.6229	4.19775	6.98376	4.01731	6.16934	0	8.11129	4.03949	5.00977	0	96.4958	4.36221	15.8532	8.16111	0	6.27782	7.95033	8.70353	8.25607	19.2323	16.3573	15.6037	6.08056	30.9075	20.1809	3.6719	24.4625	33.3669	32.3944
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	6.79942	0	0	0	0	0	0	21.9373	4.53638	0	43.036	0	0	0	0	0	8.47983	59.219	15.3156	0	21.9147	0	9.00244	3.6465	0	0	5.97217	5.28297	0	19.6548	21.6277	8.24798	17.8318	11.1266	12.2785	7.23762	10.4959	21.4535	38.8652
GALACTARDEG-PWY: D-galactarate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84388	0	0	0	0	0	0	0	0	0	0	0	0	13.0166	0	0	17.6485	2.71208	19.3418
GALACTITOLCAT-PWY: galactitol degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98413	0	0	0	0	1.30687	0	0	0	2.82819	0	0	0	0	0	7.99465	0	0	3.71266	0	34.9258
GALACTUROCAT-PWY: D-galacturonate degradation I	0	28.9126	0	9.60051	21.1614	3.71257	4.07598	5.47754	46.7493	22.3004	0	90.4883	3.86491	34.7552	0	12.1706	10.4958	11.7713	179.052	56.3853	13.6404	50.5842	0	79.4246	5.16755	10.3906	7.50067	12.9632	12.6693	8.19863	22.0574	48.3072	8.98659	104.191	32.2534	11.9589	22.1493	43.9621	36.779	33.3814
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0	30.0998	11.0199	6.78755	147.241	3.82042	32.042	5.76941	58.0461	105.527	42.3475	106.977	5.10969	66.5594	12.651	21.1514	31.6496	77.3255	181.423	457.279	14.7125	274.472	6.04856	205.187	78.3301	22.3252	33.0773	54.9964	52.1503	33.3977	316.19	142.687	55.9229	666.96	103.269	84.5459	25.8371	60.5821	40.7633	82.7242
GLUCARDEG-PWY: D-glucarate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72545	0	0	0	0	0	0	0	0	0	0	0	0	10.6027	0	0	10.5448	1.54842	15.9104
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84388	0	0	0	0	0	0	0	0	0	0	0	0	13.0166	0	0	17.6485	2.71208	19.3418
GLUCONEO-PWY: gluconeogenesis I	29.2108	224.078	44.4221	70.6245	218.691	88.1672	95.4832	115.585	189.831	188.211	32.8023	289.077	110.676	161.74	121.701	108.088	198.436	343.578	237.46	1278	426.646	225.823	42.0953	365.402	158.218	143.781	138.921	216.232	149.105	78.6413	692.036	369.267	136.108	921.353	177.564	151.239	231.015	397.722	94.7037	176.241
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	0	49.5428	486.327	0	89.6721	54.7671	0	0	125.134	0	56.6563	0	0	60.9648	0	0	0	0	299.747	399.677	0	0	0	36.1287	90.4268	141.534	0	77.6281	373.03	0	161.541	0	113.785	311.912	171.988	267.111	101.696	116.775
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0	25.6162	0	0	27.5462	0	4.2847	4.17223	39.9733	16.1074	0	73.7425	4.48594	20.8268	0	11.6006	9.3688	10.8035	147.936	51.1622	4.19518	25.2322	0	78.9975	8.24931	7.40769	9.9048	13.253	18.3733	8.46382	32.3975	37.6623	14.0922	130.19	49.8858	14.9936	7.15804	23.5302	24.1436	43.1595
GLUDEG-I-PWY: GABA shunt	0	4.06392	5.79034	0	0	3.25128	4.20367	6.13671	0	5.09573	0	1.79274	0	2.87205	0	2.75499	0	0	0	0	0	16.6483	3.86607	3.63433	0	0	3.00346	12.3173	5.79196	5.24825	10.2712	12.2184	6.44532	0	21.7738	8.12518	2.56517	27.6196	7.24216	37.8975
GLUTORN-PWY: L-ornithine biosynthesis I	0	52.4535	0	17.6328	53.3645	0	13.2704	20.1327	108.849	27.1942	58.278	56.5618	0	24.108	18.4752	18.3534	37.6121	4.00608	127.594	268.098	35.7034	59.8343	67.1718	38.5318	121.984	8.19182	49.6123	40.3746	77.6521	17.2222	134.438	79.5745	136.129	189.025	229.573	45.3812	76.3856	114.901	42.2792	221.481
GLYCOCAT-PWY: glycogen degradation I	0	0	0	0	0	0	10.3422	3.66414	0	78.5022	0	0	0	0	0	0	0	16.0175	0	0	0	5.0638	21.1397	14.9031	62.7965	0	7.50899	0	16.7712	0	4.61098	34.3307	0	7.46671	11.95	16.8471	0	22.2577	18.051	43.8698
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	41.8431	614.323	57.8165	108.224	614.228	99.2694	237.597	81.7148	737.985	526.652	525.131	794.601	99.8048	249.955	100.844	152.147	395	281.68	1186.42	1863.68	877.334	869.686	334.233	861.12	418.699	142.427	396.639	342.194	313.45	328.023	1458.78	1083.52	554.861	2892.95	493.435	512.796	543.935	253.89	258.858	459.701
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	0	0	2.14132	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665642	0	0	0	0	0	0	0	0	0	0	0	0	1.59831	0	0	22.6275	2.96031	7.48729
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	46.2023	0	41.7106	0	25.6041	0	75.8799	24.7488	45.4875	32.2874	39.3243	7.30609	37.105	10.9141	33.0268	51.1911	14.9854	55.9925	77.5067	68.9547	139.445	0	217.868	15.281	47.3483	41.7642	33.0442	32.5757	19.834	80.002	102.457	41.0883	108.516	64.7176	23.8605	62.1369	320.011	85.2433	81.7507
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0	0	0	2.20854	0	0	0	41.6718	0	0	0	0	0	0	0	0	0	0	0	0	0	20.1584	0	0	0	0	0	2.6587	0	0	0	0	0	0	1.29779	7.51462	3.03101	73.872	22.7815	6.02314
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	23.7954	122.139	70.1093	101.567	206.155	66.4779	143.465	163.986	317.992	171.29	202.15	306.843	81.1639	121.859	116.458	113.236	184.34	245.332	494.199	929.35	305.413	472.71	79.2098	438.809	182.907	177.7	194.642	214.343	185.875	134.383	654.447	423.876	159.653	410.28	139.709	217.46	319.67	691.102	239.084	173.594
GLYOXYLATE-BYPASS: glyoxylate cycle	0	0	0	16.8073	0	0	0	120.391	0	0	0	0	0	0	0	0	0	3.68587	8.85396	0	0	24.3402	0	0	0	0	12.702	5.71435	2.61201	0	1.67282	0	0	0	10.7041	7.32428	5.72286	870.762	43.1042	32.287
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0	10.132	0	2.78289	11.658	0	9.05385	0	16.9317	9.72104	18.5954	8.94162	4.39364	0	9.19411	2.54724	4.28735	15.9297	10.5202	25.0757	17.2469	29.3174	10.3809	27.0771	9.03585	0	6.39454	20.948	11.536	3.53274	7.55772	13.3425	18.4985	42.6487	14.3061	8.45295	28.51	7.07953	6.43494	19.2507
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3595	0	0	0	3.45797	0.780704	0	0	0	0	0	0	0	3.86633	0	9.85353	1.68096	11.0607	6.45546
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	0	0	0	0	0	0	3.06815	0	0	0	0	0	0	0	0	0	0	0	0	0	12.003	0	0	0	0	0	0	0	0	2.0063	0	0	0	2.97043	0	0	42.8401	5.30978	12.0992
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	0	0	0	0	0	0	2.37681	0	0	0	0	0	0	0	0	0	0	1.87757	0	0	12.003	0	0	0	0	0	0	0	0	2.0063	0	0	0	2.97043	0	0	42.8401	5.30978	12.0992
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	0	2.0328	0	0	0	8.44405	0	0	0	0	0	0	0	2.72833	0	0	0	0	0	14.7013	0	8.94588	0	0	0	0	0	0	2.25859	2.61587	0	0	4.9699	0	0	45.5093	5.63359	19.6457
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5293	0	0	0	0	3.48855	0	0	0	8.34864	0	0	0	0	0	21.0024	0	0	11.995	0	61.1388
HISDEG-PWY: L-histidine degradation I	0	10.4021	0	0	26.6191	0	4.11958	3.62708	0	37.7243	209.482	27.22	9.55995	20.7025	23.0933	34.674	21.488	25.86	59.3379	32.4679	19.0837	132.739	7.00937	56.936	20.2603	13.0199	13.5106	34.1972	41.3634	14.4408	39.8121	68.4718	26.4776	132.738	80.0091	35.9851	4.85725	21.3116	57.8658	90.8584
HISTSYN-PWY: L-histidine biosynthesis	0	138.658	13.9086	22.6652	63.8673	12.6375	38.2285	11.0017	111.271	87.7225	92.3392	123.424	8.63183	46.7075	19.4848	36.7615	63.7584	48.923	189.467	227.498	60.3797	92.5044	81.227	103.285	152.137	29.8989	68.7971	61.6377	103.554	33.6266	219.453	114.729	138.165	268.301	372.54	67.4079	113.086	90.423	114.399	324.012
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	0	7.42353	0	0	0	10.5611	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6167	0	0	0	0	0	0	0	0	0	0	2.46005	14.9043	6.71467	0	2.11005	19.9665	1.34631	30.66
HSERMETANA-PWY: L-methionine biosynthesis III	0	39.5488	0	49.5803	59.4141	7.48685	29.9017	4.59266	73.0074	39.6283	38.6204	63.5182	6.19346	10.3147	18.9868	26.5344	20.5085	63.9035	86.7106	159.605	31.9046	110.584	54.589	123.278	105.939	9.07085	41.6542	36.425	44.1689	15.1349	145.79	152.526	126.508	219.43	140.317	63.1381	74.8259	39.1263	35.6221	200.097
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	21.6618	305.968	10.1706	57.4881	211.225	53.5885	63.7699	28.3577	361.102	179.895	177.532	442.757	34.2358	134.905	55.5662	77.3839	135.372	120.805	331.203	872.629	159.344	160.551	71.4155	231.603	186.229	47.2102	87.6534	139.564	155.645	55.0503	484.944	304.535	203.411	624.536	325.537	158.973	215.228	162.499	111.708	310.236
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5855	5.01455	8.0771
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	0	2.13987	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639859	0	0	0	0	0	0	0	0	0	0	0	0	1.34297	0	0.641484	16.1736	0	10.1912
LACTOSECAT-PWY: lactose and galactose degradation I	5.23903	7.32202	0	5.54907	15.8064	0	8.23575	10.2825	28.7925	71.4552	0	146.955	4.43027	0	5.89415	4.22042	3.59527	9.81875	44.544	19.0033	46.8299	125.303	0	10.5033	3.71243	67.7743	2.74884	11.1678	22.1326	4.6759	65.5045	7.77846	17.0628	521.646	12.5514	26.4683	50.046	64.1056	7.70385	27.3934
LIPA-CORESYN-PWY: lipid A-core biosynthesis (E. coli K-12)	0	0	0	0	0	0	0	4.38426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12751	0	0	3.71225	15.4288	1.10694
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2376
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16662	0	0	9.96155	8.43577	3.87281
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	12.5878	0	0	0	14.7343	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3196	0	0	0	0	0	0	0	0	0	0	4.83118	27.139	13.0057	0	4.15555	34.6735	2.6323	55.6389
METH-ACETATE-PWY: methanogenesis from acetate	8.61279	175.672	20.4269	34.6205	683.263	22.8754	116.918	7.64102	338.005	302.779	374.313	347.753	35.0672	100.314	42.8195	61.2398	55.2882	138.793	361.375	1433.91	226.411	198.098	86.4174	660.775	93.6569	15.7239	86.2048	138.924	82.0446	75.5865	378.96	364.178	110.186	1326.61	64.9573	311.681	144.737	32.4198	91.9684	37.9746
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11165	0	0	0	2.13576	0	0	0	0	0	0	0	0	8.57519
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	5.83821	0	0	0	0	0	0	0	0	0	0	0	0	0	7.20794	0	5.40091	0	0	0	0	0	0	3.1181	0	0	0	2.01585	0	1.00317	52.275	0.984458	7.12074
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	11.2488	0	0	0	13.5463	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8585	0	0	0	0	0	0	0	0	0	0	4.25263	25.4388	11.5558	0	3.66163	31.9132	2.3293	50.2125
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	0	0	0	0	5.78749	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13513	0	0	0	0	0	0	0	0	3.91686	0	0	0	2.22807	0	0	14.3127	0	16.5063
