sample	Val	Leu/Ile	Phe	Tyr	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Prevotella.s__Prevotella_copri	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Prevotella.s__Prevotella_copri	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Prevotella.s__Prevotella_copri	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Prevotella.s__Prevotella_copri	HISTSYN-PWY: L-histidine biosynthesis|g__Prevotella.s__Prevotella_copri	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-1042: glycolysis IV|g__Prevotella.s__Prevotella_copri	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-2942: L-lysine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5097: L-lysine biosynthesis VI|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5686: UMP biosynthesis I|g__Prevotella.s__Prevotella_copri	PWY-5695: inosine 5'-phosphate degradation|g__Prevotella.s__Prevotella_copri	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_copri	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Prevotella.s__Prevotella_copri	PWY-6151: S-adenosyl-L-methionine salvage I|g__Prevotella.s__Prevotella_copri	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Prevotella.s__Prevotella_copri	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Prevotella.s__Prevotella_copri	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Prevotella.s__Prevotella_copri	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-6609: adenine and adenosine salvage III|g__Prevotella.s__Prevotella_copri	PWY-6700: queuosine biosynthesis I (de novo)|g__Prevotella.s__Prevotella_copri	PWY-6703: preQ0 biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-6897: thiamine diphosphate salvage II|g__Prevotella.s__Prevotella_copri	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Prevotella.s__Prevotella_copri	PWY-7790: UMP biosynthesis II|g__Prevotella.s__Prevotella_copri	PWY-7791: UMP biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Prevotella.s__Prevotella_copri	PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-7977: L-methionine biosynthesis IV|g__Prevotella.s__Prevotella_copri	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	RHAMCAT-PWY: L-rhamnose degradation I|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri
RL613.mf	161.88	125.54	64.82	54.25	0	0	0	5.15603	0	0	0	0	0	0	0	0	0	0	0	0	9.1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2808	0	0	25.0796
RL616.mf	197.85	211.73	101.09	64	25.026	27.3494	11.9431	84.4483	19.5593	31.8707	18.3722	45.9672	7.10079	17.6808	0	24.6441	21.5676	13.3296	12.267	0	47.5605	11.4699	12.267	15.4554	14.2317	17.8197	34.2382	14.279	13.8007	10.2988	24.0473	7.2026	21.5676	21.5676	10.5764	14.9711	15.3621	0	15.9815	52.2141
RL627.mf	273.3	235.83	120.29	80.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL628.mf	141.26	119.69	89.58	46.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL641.mf	247.08	199.89	86.38	85.4	5.89633	12.0131	0	40.522	0	14.5035	10.8391	34.3038	0	0	0	11.8467	0	0	11.4038	0	0	0	11.4038	0	10.5022	14.2735	30.0307	6.61659	0	0	20.2019	0	0	0	0	9.92464	0	0	0	19.4044
RL651.mf	216.75	199.11	37.82	41.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL654.mf	347.14	390.65	126.51	81.36	0	1.97587	0	0	0	2.07	0	0	0	0	0	1.87687	0	0	0	0	0.878613	0	0	0	0	0	1.38666	0	0	0	0	0	0	0	0	0	0	0	0	2.168
RL656.mf	282.51	229.06	87.15	66.5	12.0986	40.1495	0	31.9159	0	52.7565	22.2503	63.2144	0	16.8388	0	45.2178	14.4665	0	21.3332	0	0	0	21.3332	0	21.1282	29.5724	24.7959	22.9833	0	0	35.0825	0	14.4665	14.4665	0	19.2306	0	0	0	58.2692
RL659.mf	264.27	269.85	107.44	68.69	8.42873	9.70833	13.4119	15.4662	6.57622	10.5682	7.27798	18.2726	3.18763	8.10804	5.01631	7.73559	14.6537	7.55961	5.06294	2.79115	11.922	9.0309	5.06294	6.84705	5.644	6.79176	9.96746	5.31343	3.14453	6.95194	24.8289	5.35883	14.6537	14.6537	11.6088	6.24951	13.9678	3.92937	0	24.6432
RL663.mf	325.2	332.97	127.58	101.58	7.52904	18.2818	0	28.1188	0	20.5001	10.4324	22.1722	0	7.66095	6.7974	17.4842	12.3245	0	9.30239	0	0	0	9.30239	9.41387	10.7101	12.9704	20.0247	9.51781	0	0	12.2078	0	12.3245	12.3245	0	9.90667	0	8.8922	0	24.6364
RL665.mf	228.47	204.27	88.12	62.2	3.80478	14.9345	0	26.4316	0	18.7064	5.5536	8.67741	0	4.07464	0	15.0754	7.14525	0	3.47133	0	0	0	3.47133	4.56802	5.23195	6.32264	7.22592	0	0	0	10.3166	0	7.14525	7.14525	0	4.74285	0	2.52552	0	27.1257
RL667.mf	232.88	220.03	88.11	62.77	0.9985	11.0058	1.44551	10.5799	5.65092	13.2909	2.39577	7.32306	0	0	0	10.8486	3.41031	2.34519	0	0	5.97221	0	0	2.50105	1.80856	2.32657	7.78091	2.91737	0.722322	0	0	0	3.41031	3.41031	0	2.01168	0	0	0	18.7194
RL668.mf	328.17	366.81	146.28	91.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL679.mf	217.01	175.88	77.17	59.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL680.mf	151.13	147.97	56.22	55.15	4.57784	39.6631	0	24.573	0	53.625	10.7684	65.2016	0	11.4232	0	45.4176	10.5392	0	12.8112	0	4.52737	0	12.8112	8.22234	9.72183	11.4063	19.5858	6.82309	0	0	26.2728	0	10.5392	10.5392	0	10.5918	0	3.62218	0	66.916
RL683.mf	183.69	188.09	61.96	53.36	2.66718	15.7739	0	15.6801	0	17.7407	6.29047	12.102	0	3.68217	3.14294	14.832	6.02147	0	9.17609	0	0	0	9.17609	6.47285	6.91105	7.00417	12.5238	6.29471	0	0	12.1656	0	6.02147	6.02147	0	6.26545	0	6.38005	0	22.3997
RL686.mf	197.85	192.87	98.13	56.24	31.9945	91.2697	62.704	90.634	39.3024	142.677	95.825	238.435	20.3484	55.9483	0	117.34	120.959	37.1268	42.3558	27.4932	49.0187	37.7366	42.3558	78.4501	67.9959	86.9278	66.5844	12.7825	15.5068	20.7758	34.1766	14.7904	120.959	120.959	62.704	82.5492	52.9575	9.22031	7.07453	200.792
RL691.mf	182.43	156.2	53.9	54.43	40.6717	58.4936	0	118.736	0	57.9087	61.7832	66.3214	0	36.9514	36.3113	49.071	67.6189	0	41.415	0	23.9152	0	41.415	59.126	65.2075	64.2866	37.9007	49.8554	0	33.8875	68.0241	25.011	67.6189	67.6189	0	60.8626	0	55.9028	0	77.7604
RL693.mf	192.74	172.55	68.79	46.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL700.mf	206.88	174.02	79.81	69.47	8.16056	21.3388	7.70001	23.7894	11.3353	26.7932	14.9186	33.9076	2.15176	10.8274	5.94917	22.083	17.2063	4.60159	11.6818	9.14497	12.1945	8.84629	11.6818	12.2649	11.4585	14.151	21.962	6.86324	5.29233	2.95127	27.6976	1.88878	17.2063	17.2063	7.70001	11.1173	10.7235	5.34933	13.7406	36.6317
RL703.mf	214.49	219.77	71.86	52.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL704.mf	212.02	204.37	65.14	34.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL725.mf	228.2	243.9	67.12	59.6	7.10168	10.0958	0	20.5375	0	10.2224	9.35383	11.0763	0	8.0246	7.28948	8.90753	8.69339	0	7.66669	0	0	0	7.66669	9.4501	10.3706	10.3033	9.20953	8.17213	0	11.2023	10.068	10.1168	8.69339	8.69339	0	9.27027	0	10.2997	0	12.0779
