# Pathway	Prevotella	Butyrivibrio	Megasphaera	Val	Leu/Ile	Phe	Tyr	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Butyrivibrio.s__Butyrivibrio_crossotus	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_AM42_24	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_CAG_1092	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella	PWY-5103: L-isoleucine biosynthesis III|g__Butyrivibrio.s__Butyrivibrio_crossotus	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_AM42_24	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_CAG_1092	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella	PWY-6630: superpathway of L-tyrosine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Megasphaera.s__Megasphaera_elsdenii	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_885	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_AM42_24	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_1092	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_279	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_617	VALSYN-PWY: L-valine biosynthesis|g__Prevotella
RL606.mf	0.466095972	0	0	241.89	206.39	79.33	70.23	0	68.5587	0	0	68.5587	0	55.9018	0	0	55.9018	0	0	0	89.2038	0	0	0	0	0	89.2038
RL607.mf	0.066311553	0	0.000221562	236.67	228.94	105.41	63.23	0	11.5134	0	0	11.5134	0	9.30488	0	0	9.30488	0	0	0	16.9418	0	0	0	0	0	16.9418
RL610.mf	0.250386533	0	0	284.99	260.01	78.85	50.29	0	2.41615	5.14435	4.52036	12.08086	0	2.0176	4.35967	4.06776	10.44503	0	0	0	3.03992	2.79639	5.97029	4.82787	0	0	16.63447
RL613.mf	0.147764441	0	0	161.88	125.54	64.82	54.25	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0796	0	0	0	0	0	25.0796
RL616.mf	0.374520275	0	0	197.85	211.73	101.09	64	0	31.8707	0	0	31.8707	0	24.6441	0	0	24.6441	0	0	0	52.2141	0	0	0	0	0	52.2141
RL627.mf	0	0	0	273.3	235.83	120.29	80.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL628.mf	0	0	0	141.26	119.69	89.58	46.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL641.mf	0.257847122	0	0	247.08	199.89	86.38	85.4	0	14.5035	0	0	14.5035	0	11.8467	0	0	11.8467	0	0	0	19.4044	0	0	0	0	0	19.4044
RL651.mf	0	0	0	216.75	199.11	37.82	41.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL654.mf	0.028514486	0.005845153	0	347.14	390.65	126.51	81.36	0	2.07	7.40045	0	9.47045	0	1.87687	6.46691	0	8.34378	0	0	0	2.168	0	8.18655	0	0	0	10.35455
RL656.mf	0.177746845	0	0.004970194	282.51	229.06	87.15	66.5	0	52.7565	0	0	52.7565	0	45.2178	0	0	45.2178	0	0	0	58.2692	0	0	0	0	0	58.2692
RL659.mf	0.05018993	0	0	264.27	269.85	107.44	68.69	0	10.5682	0	0	10.5682	0	7.73559	0	0	7.73559	0	0	0	24.6432	0	0	0	0	0	24.6432
RL663.mf	0.446600881	0	0	325.2	332.97	127.58	101.58	0	20.5001	0	0	20.5001	0	17.4842	0	0	17.4842	0	0	0	24.6364	0	0	0	0	0	24.6364
RL665.mf	0.133251388	0	0	228.47	204.27	88.12	62.2	0	18.7064	0	0	18.7064	0	15.0754	0	0	15.0754	0	0	0	27.1257	0	0	0	7.40676	0	34.53246
RL667.mf	0.066864579	0	0	232.88	220.03	88.11	62.77	0	13.2909	6.94546	0	20.23636	0	10.8486	5.89765	0	16.74625	0	0	0	18.7194	0	8.06652	0	0	0	26.78592
RL668.mf	0	0	0	328.17	366.81	146.28	91.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL679.mf	0.052410269	0.003816753	0	217.01	175.88	77.17	59.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL680.mf	0.129562612	0.00215698	0.00402157	151.13	147.97	56.22	55.15	0	53.625	0	14.0867	67.7117	0	45.4176	0	12.7762	58.1938	0	0	0	66.916	0	0	15.0399	0	0	81.9559
RL683.mf	0.066488852	0	0.010261171	183.69	188.09	61.96	53.36	0	17.7407	0	0	17.7407	0	14.832	0	0	14.832	0	0	3.34467	22.3997	0	0	0	0	0	22.3997
RL686.mf	0.547693912	0	0	197.85	192.87	98.13	56.24	0	142.677	0	0	142.677	0	117.34	0	0	117.34	0	0	0	200.792	0	0	0	0	0	200.792
RL691.mf	0.266113901	0	0	182.43	156.2	53.9	54.43	0	57.9087	0	0	57.9087	0	49.071	0	0	49.071	0	0	0	77.7604	0	0	0	0	4.77497	82.53537
RL693.mf	0.003374708	0	0	192.74	172.55	68.79	46.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL700.mf	0.181603186	0.050138104	0	206.88	174.02	79.81	69.47	0	26.7932	25.0284	0	51.8216	0	22.083	20.3736	0	42.4566	0	6.18954	0	36.6317	0	33.3089	0	0	0	69.9406
RL703.mf	0.000245851	0	0	214.49	219.77	71.86	52.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL704.mf	0	0	0	212.02	204.37	65.14	34.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL725.mf	0.03687214	0.03636471	0	228.2	243.9	67.12	59.6	11.8275	10.2224	0	0	10.2224	10.4642	8.90753	0	0	8.90753	9.99519	12.6246	0	12.0779	0	0	0	0	0	12.0779
